batch_file,total_records,parsed_records,parse_errors,redis_records_fetched,pass_count,partial_count,fail_count,pass_rate,latest_reference,avg_overall_score,min_overall_score,max_overall_score,avg_task_completion,min_task_completion,max_task_completion,avg_tool_accuracy,min_tool_accuracy,max_tool_accuracy,avg_step_efficiency,min_step_efficiency,max_step_efficiency,avg_plan_adherence,min_plan_adherence,max_plan_adherence,avg_faithfulness,min_faithfulness,max_faithfulness,avg_plan_quality_score,min_plan_quality_score,max_plan_quality_score,avg_task_decomposition_accuracy,min_task_decomposition_accuracy,max_task_decomposition_accuracy,avg_read_only_integrity,min_read_only_integrity,max_read_only_integrity,avg_argument_hallucination_rate,min_argument_hallucination_rate,max_argument_hallucination_rate
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__0cotxoyome9tgr9ae3bljln29m2179xko4cc.jsonl,24,25,0,25,17,6,2,0.68,system-prompts:deployer:20260418T045038Z,8.28,4.0,10.0,0.68,0.0,1.0,0.942,0.6,1.0,0.86,0.2,1.0,0.932,0.4,1.0,0.996,0.9,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__1om4pg4bjxliegi3m58jjl0r0zo7e08o6r2n.jsonl,25,25,1,25,19,3,3,0.76,system-prompts:deployer:20260420T161010Z,8.62,3.0,9.5,0.76,0.0,1.0,0.964,0.6,1.0,0.89,0.3,1.0,0.948,0.4,1.0,0.98,0.5,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__4fuq5pqt03lwz86vtjr4omj0r1f1rgno9tf2.jsonl,24,25,0,25,16,7,2,0.64,system-prompts:deployer:base,8.1,2.0,10.0,0.64,0.0,1.0,0.95,0.7,1.0,0.8332,0.3,1.0,0.8692,0.33,1.0,0.944,0.0,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__8g7f9e7mhhshxii2kfiubbu16cl9smsc194n.jsonl,24,25,0,25,19,1,5,0.76,system-prompts:deployer:20260416T004153Z,8.52,4.0,10.0,0.76,0.0,1.0,0.904,0.4,1.0,0.836,0.3,1.0,0.896,0.4,1.0,0.936,0.2,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__fdv8j84o943g03f7jwwgmnwx5jcm9hrk2nkf.jsonl,25,25,1,0,16,6,3,0.64,,8.06,4.0,10.0,0.64,0.0,1.0,0.8484,0.33,1.0,0.8144,0.3,1.0,0.88,0.4,1.0,0.876,0.0,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__gr5ehufiven0vl66dhs71tqddl65fc6ec4ax.jsonl,24,25,0,25,19,5,1,0.76,system-prompts:deployer:20260419T101428Z,8.9,6.0,10.0,0.76,0.0,1.0,0.98,0.9,1.0,0.944,0.8,1.0,0.94,0.0,1.0,0.94,0.0,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__p19a2p50iw2g21zpcp90ftj0r2brwxhjbvam.jsonl,25,25,1,25,21,2,2,0.84,system-prompts:deployer:20260422T005928Z,8.76,3.0,10.0,0.84,0.0,1.0,0.9672,0.8,1.0,0.908,0.5,1.0,0.94,0.4,1.0,0.968,0.2,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__pamdgrp4ngfr1qg40k0vn8ywjcg2c37aiz3y.jsonl,25,25,1,25,20,3,2,0.8,system-prompts:deployer:20260420T161010Z,8.74,4.0,10.0,0.8,0.0,1.0,0.972,0.7,1.0,0.924,0.5,1.0,0.944,0.4,1.0,0.972,0.6,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__rmowd4h2h6o7yghy0lgqwwl5qzakqa32lznc.jsonl,25,25,1,25,19,4,2,0.76,system-prompts:deployer:20260422T005928Z,8.66,2.0,10.0,0.76,0.0,1.0,0.96,0.4,1.0,0.876,0.2,1.0,0.916,0.3,1.0,0.968,0.5,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__ydxhuqhnoohw8fd6fj4bh3s6uw2c72ibp88b.jsonl,25,25,1,25,18,4,3,0.72,system-prompts:deployer:20260421T122549Z,8.26,4.0,10.0,0.72,0.0,1.0,0.968,0.8,1.0,0.856,0.4,1.0,0.916,0.4,1.0,0.94,0.2,1.0,,,,,,,,,,,,
/root/workspace/lnd/aiops/apps/newbie-app/evaluator/batch_results/deployer/e2e/batches__yjvdlya3w9jq7n6ilqa3uy7jvab2g643n19q.jsonl,25,25,1,25,20,4,1,0.8,system-prompts:deployer:20260422T005928Z,8.84,4.0,10.0,0.8,0.0,1.0,0.98,0.8,1.0,0.928,0.5,1.0,0.968,0.6,1.0,0.988,0.8,1.0,,,,,,,,,,,,
