metadata_created_at,metadata_persona,redis_key,remarks_created_by,remarks_optimized_from,remarks_optimized_from:
system-prompts:deployer:20260410T083522Z,deployer,system-prompts:deployer:20260410T083522Z,,,
system-prompts:deployer:20260411T082754Z,deployer,system-prompts:deployer:20260411T082754Z,,,
system-prompts:deployer:20260415T140047Z,deployer,system-prompts:deployer:20260415T140047Z,,,
system-prompts:deployer:20260415T140434Z,deployer,system-prompts:deployer:20260415T140434Z,,,
system-prompts:deployer:20260415T183217Z,deployer,system-prompts:deployer:20260415T183217Z,,,
system-prompts:deployer:20260416T002735Z,deployer,system-prompts:deployer:20260416T002735Z,,,
system-prompts:deployer:20260416T003533Z,deployer,system-prompts:deployer:20260416T003533Z,,,
system-prompts:deployer:20260416T004029Z,deployer,system-prompts:deployer:20260416T004029Z,,,
system-prompts:deployer:20260416T004153Z,deployer,system-prompts:deployer:20260416T004153Z,,,
system-prompts:deployer:20260418T004651Z,deployer,system-prompts:deployer:20260418T004651Z,prompt-optimizer,,system-prompts:deployer:20260416T004153Z
system-prompts:deployer:20260418T045038Z,deployer,system-prompts:deployer:20260418T045038Z,user,,system-prompts:deployer:20260416T004153Z
system-prompts:deployer:20260419T101428Z,deployer,system-prompts:deployer:20260419T101428Z,prompt-optimizer + user,system-prompts:deployer:20260418T045038Z,
system-prompts:deployer:20260419T235205Z,deployer,system-prompts:deployer:20260419T235205Z,prompt-optimizer + user,system-prompts:deployer:20260419T101428Z,
system-prompts:deployer:20260420T142234Z,deployer,system-prompts:deployer:20260420T142234Z,prompt-optimizer + user,system-prompts:deployer:20260419T101428Z,
system-prompts:deployer:20260420T161010Z,deployer,system-prompts:deployer:20260420T161010Z,prompt-optimizer + user,system-prompts:deployer:20260419T101428Z,
system-prompts:deployer:20260421T122549Z,deployer,system-prompts:deployer:20260421T122549Z,prompt-optimizer + user,system-prompts:deployer:20260420T142234Z,
system-prompts:deployer:20260422T000144Z,deployer,system-prompts:deployer:20260422T000144Z,prompt-optimizer + user,system-prompts:deployer:20260421T122549Z,
system-prompts:deployer:20260422T000448Z,deployer,system-prompts:deployer:20260422T000448Z,prompt-optimizer + user,system-prompts:deployer:20260421T122549Z,
system-prompts:deployer:20260422T005928Z,deployer,system-prompts:deployer:20260422T005928Z,prompt-optimizer + user,system-prompts:deployer:20260421T122549Z,
system-prompts:deployer:20260428T063643Z,deployer,system-prompts:deployer:20260428T063643Z,prompt-optimizer + user,system-prompts:deployer:20260421T122549Z,
system-prompts:deployer:20260428T063643Z,deployer,system-prompts:deployer:latest,prompt-optimizer + user,system-prompts:deployer:20260421T122549Z,
